positionOrder
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
3
2
8
9
9
10
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
8
9
9
10
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
1
2
3
3
2
9
9
9
12
6
6
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
4
9
9
12
6
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
1
2
3
3
2
9
9
9
12
12
6
17
17
17
1
3
3
3
8
9
9
10
12
12
6
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
9
9
12
6
6
17
17
17
1
2
3
3
2
9
9
10
6
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
12
6
6
17
17
17
1
3
3
3
8
9
9
10
14
6
8
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
4
8
9
9
10
6
17
17
17
1
2
3
3
2
9
9
9
12
12
6
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
4
9
9
12
6
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
9
9
9
12
6
6
17
17
17
1
2
3
3
3
2
8
9
9
10
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
9
9
12
6
6
17
17
1
2
3
3
2
8
9
9
9
10
6
17
17
17
1
2
3
3
2
9
9
9
12
12
6
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
8
9
9
9
10
6
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
9
9
12
6
6
17
17
17
2
3
3
2
9
9
10
6
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
4
4
5
12
13
6
17
17
17
1
2
3
3
2
8
9
9
10
6
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
3
2
4
8
9
9
10
6
17
17
1
2
3
3
2
9
9
9
12
6
6
17
17
17
1
2
3
3
2
9
9
9
14
6
8
17
17
17
1
2
3
